"# of Use","# использования"
"%1$s incl tax.","%1$s вкл. налог."
"%s - %s","%s — %s"
"%s Item(s)","%s шт."
"%s and above","%s и больше"
"Retrieve product tier prices","Получить оптовые цены"
"Retrieve product types","Получить типы товара"
"Retrieve products data","Получить данные о товаре"
"Retrieve products list by filters","Получить отфильтрованный список товаров"
"Return to Previous Page","предыдущая страница"
"return to previous page","предыдущая страница"
"Reviews","Отзывы"
"Roll Over for preview","Навести курсор для просмотра"
"Root","Корневая"
"SKU","Артикул"
"SKU length should be %s characters maximum.","Максимальная длина артикула — %s символов."
"Sale","Скидка"
"Sale!","Скидка"
"Save","Сохранить и вернуться"
"Save Attribute","Сохранить свойство"
"Save Attribute Set","Сохранить и вернуться"
"Save Category","Сохранить раздел"
"Save Search","Сохранить поисковый запрос"
"Save and Continue Edit","Сохранить и остаться"
"Saved %d record(s)","Сохранено записей %d"
"Scope","Область учёта значения"
"Search","Поиск"
"Search Engine Optimizations","Оптимизация в поисковых системах (SEO)"
"Search Information","Параметры поиска"
"Search Query","Поисковый запрос"
"Search Term with such search query already exists.","Критерий поиска с таким же поисковым запросом уже существует."
"Searchable","Для поиска"
"Select Category...","Выберите раздел..."
"Select Configurable Attributes ","Выберите настраиваемые свойства"
"Select Product...","Выберите товар..."
"Select type of option","Выберите тип параметра"
"Select type options required values rows.","Выберите тип обязательных параметров."
"Selected Product Types","Выбранные типы товара"
"Selected configuration is not available.","Выбранные настройки недоступны."
"Send Count","Отправить количество"
"Set Ascending Direction","нажмите, чтобы упорядочить по возрастанию"
"Set Descending Direction","нажмите, чтобы упорядочить по убыванию"
"Set Name","Название типа товаров"
"Set Root Category for Store","Установить корневой раздел для магазина"
"Set root category for this store in the <a href=""%s"">configuration</a>","Установить корневой раздел для этого магазина в <a href=""%s"">настройках</a>"
"Set special price","Установить цену особого предложения"
"Set/Get current store view","Установить/получить текущую витрину"
"Settings","Настройки"
"Shop By","Фильтр"
"Shopping Options","Критерии фильтрации"
"Show","по"
"Show Details","Показать подробно"
"Show Tags","Показать пометки"
"Simple Product","Простой товар"
"Site Map","Карта сайта"
"Sitemap","Карта сайта"
"Skip import row, is not valid value ""%s"" for field ""%s""","Система не смогла обработать и пропустила строку импортируемых данных, потому что в этой строке значение «%s» является недопустимым для поля «%s»"
"Skip import row, required field ""%s"" for the new customer is not defined.","Система не смогла обработать и пропустила строку импортируемых данных, потому что в этой строке не заполнено обязательное для нового покупателя свойство «%s»."
"Skip import row, the value ""%s"" is invalid for field ""%s""","Система не смогла обработать и пропустила строку импортируемых данных, потому что в этой строке значение «%s» является недопустимым для поля «%s»"
"Skipping import row, required field ""%s"" for new products is not defined.","Система не смогла обработать и пропустила строку импортируемых данных, потому что в этой строке не заполнено обязательное для нового товара свойство «%s»."
"Skipping import row, required field ""%s"" is not defined.","ПСистема не смогла обработать и пропустила строку импортируемых данных, потому что в этой строке не заполнено обязательное для заполнения поле «%s»."
"Skipping import row, store ""%s"" field does not exist.","Система не смогла обработать и пропустила строку импортируемых данных, потому что система не поняла, в какой магазин следует поместить импортируемый товар (поле «store» содержит непонятное для системы значение «%s»)."
"Skipping import row, the value ""%s"" is not valid for the ""%s"" field.","Система не смогла обработать и пропустила строку импортируемых данных, потому что в этой строке значение «%s» является недопустимым для поля «%s»."
"Small Image","Картинка средних размеров (для списка товаров)"
"Some of the processed products have no SKU value defined. Please fill it prior to performing operations on these products.","У некоторых обработанных товаров не указаны значения артикула (SKU). Заполните их перед выполнением операций с этими товарами."
"Some of the products below do not have all the required options. Please edit them and configure all the required options.","У некоторых товаров, указанных ниже, указаны не все обязательные параметры. Отредактируйте их и укажите все обязательные параметры."
"Sort By","порядок:"
"Sort Order","порядок"
"Source Model","Модель-источник"
"Special Expires On: %s","Цена со скидкой истекает: %s"
"Special Price:","Цена со скидкой:"
"Special Price: %s","Цена со скидкой: %s"
"Specification","Характеристики"
"Specify integer number from 0 till 100.","целое число от 0 до 100"
"Starting at:","от:"
"Static","Статичный"
"Static block and products","самодельный блок и товары"
"Static block only","только самодельный блок"
"Status","Состояние"
"Stock Availability","В наличии ли данный товар?"
"Store","Магазин"
"Store View","Витрина"
"Stretch","растянуть по всей площади товарного изображения"
"Subscribe to RSS Feed","Подписаться на RSS канал"
"Super product attributes configuration","Настройка свойств супер товара"
"Synonym For","Синоним"
"System Properties","Свойства системы"
"Tag Name","Название пометки"
"Tax","Налог"
"Tax Class","Ставка НДС"
"Template","Шаблон"
"Text","Текст"
"The Flat Catalog module has a limit of %2\$d filterable and/or sortable attributes. Currently there are %1\$d of them. Please reduce the number of filterable/sortable attributes in order to use this module.","Система в режиме денормализованной структуры хранения товаров позволяет максимум %2\$d фильтруемых/упорядочиваемых свойств товаров. Сейчас в системе уже %1\$d таких свойств. Поэтому для включения режима денормализованной структуры хранения товаров сначала уменьшите количество фильтруемых/упорядочиваемых свойств."
"The attribute code '%s' is reserved by system. Please try another attribute code","Свойство «%1$s» является системным, поэтому нельзя создать другое свойство с этим кодом.<br/>Придумайте другой код.<br/>Если в Вашем магазине свойство «%1$s» отсутствует — значит, некто повредил базу данных его удалением.<br/>Удалять системные свойства нельзя, причём через административный интерфейс Magento это сделать невозможно.<br/>Это надо было постараться вручную повредить базу данных."
"The attribute code '%s' is reserved by system. Please try another attribute code.","Свойство «%1\$s» является системным, поэтому нельзя создать другое свойство с этим кодом.<br/>Придумайте другой код.<br/>Если в Вашем магазине свойство «%1\$s» отсутствует — значит, некто повредил базу данных его удалением.<br/>Удалять системные свойства нельзя, причём через административный интерфейс Magento это сделать невозможно.<br/>Это надо было постараться вручную повредить базу данных."
"The attribute model is not defined","Модель свойства не определена"
"The attribute set has been saved.","Прикладной тип товара сохранён."
"The base directory to upload file is not specified.","Не указана базовая папка для закачивания файлов."
"The category has been deleted.","Раздел удалён."
"The category has been saved.","Раздел сохранён."
"The comparison list was cleared.","Все товары удалены из сравнительной таблицы."
"The file '%s' for '%s' has an invalid extension","У файла «%s» для «%s» неверное расширение"
"The file '%s' you uploaded is larger than %s Megabytes allowed by server","Закачанный вами файл «%s» больше чем разрешено на сервере (%s мегабайт)"
"The file you uploaded is larger than %s Megabytes allowed by server","Закачанный вами файл больше чем разрешено на сервере (%s мегабайт)"
"The filters must be an array.","Фильтры должны быть в виде массива."
"The image contents is not valid base64 data.","Содержимое файла изображения не является корректными данными base64."
"The image is not specified.","Изображение не указано."
"The product %s has been added to comparison list.","Товар «<strong>%s</strong>» добавлен в сравнительную таблицу."
"The product %s has been removed from comparison list.","Товар «<strong>%s</strong>» удалён из сравнительной таблицы."
"The product attribute has been deleted.","Свойство товара удалено."
"The product attribute has been saved.","Свойство товара сохранено."
"The product has been created.","Товар создан."
"The product has been deleted.","Товар удалён."
"The product has been duplicated.","Система добавила новый товар по образу прежнего."
"The product has been saved.","Товар сохранён."
"The product has required options","Товар содержит обязательные параметры"
"The review has been deleted","Отзыв удалён"
"The review has been saved.","Отзыв сохранён."
"The review was removed by another user or does not exist.","Этот отзыв либо был удалён другим администратором, либо никогда не существовал."
"The search was deleted.","Поиск удалён."
"The text is too long","Текст слишком длинны"
"There are no %s available.","%s нет в наличии."
"There are no customers for this alert","Ни один из покупателей ещё не подписан на это оповещение"
"There are no customers for this alert.","Ни один из покупателей ещё не подписан на это оповещение."
"There are no products matching the selection.","ничего не найдено :-("
"There was an error while request processing.","Ошибка при обработке запроса."
"Thumbnail","Картинка-миниатюра (для галереи дополнительных картинок на отдельной товарной странице)."
"This Attribute no longer exists","Этот свойство больше не существует"
"This attribute cannot be deleted.","Этот свойство не может быть удалено."
"This attribute cannot be edited.","Этот свойство не может быть отредактировано."
"This attribute cannot be updated.","Этот свойство не может быть обновлено."
"This attribute is used in configurable products. You cannot remove it from the attribute set.","Этот свойство используется в настраиваемых товарах. Вы не можете удалить его из прикладного типа товаров."
"This attribute no longer exists","Это свойство больше не существует"
"This attribute set no longer exists.","Этот прикладной тип товаров больше не существует."
"This group contains attributes, used in configurable products. Please move these attributes to another group and try again.","Эта группа предназначена исключительно для свойств настраиваемых товаров. Система запрещает размещать в этой группе посторонние свойства. Переместите их в другую группу."
"This group contains system attributes. Please move system attributes to another group and try again.","Эта группа предназначена исключительно для системных свойств. Система запрещает размещать в этой группе посторонние свойства. Переместите их в другую группу."
"This is a required option","Укажите значение этой опции"
"This product no longer exists.","Товар больше не существует."
"This search no longer exists.","Этот поиск больше не существует."
"Tier Pricing","Оптовые цены"
"Tile","замостить всю площадь товарного изображения, словно плиткой"
"Time Format","Формат времени"
"Title","Заголовок"
"To reindex the enabled product(s), the store or product must be specified.","Для переиндексации товаров необходимо указать магазин или товар."
"Top/Left","вверху слева"
"Top/Right","вверху справа"
"Total Qty Base Items","Всего количество"
"Total incl. Tax: %1$s","Итого вкл. налог: %1$s"
"Total of %d record(s) have been deleted.","Удалено записей: %d."
"Total of %d record(s) have been updated.","Обновлено записей: %d."
"Type","Тип"
"URL Rewrite Management","Адреса страниц"
"Unable to complete this request.","Невозможно выполнить запрос."
"Unable to find a search term to delete.","Система не нашла подлежащую удаления поисковую фразу."
"Unable to find an attribute to delete.","Система не нашла подлежащее удалению свойство."
"Unable to get the product ID.","Невозможно получить идентификатор товара."
"Unassigned Attributes","Неиспользованные свойства"
"Unknown EAV indexer type ""%s"".","Неизвестный тип EAV индексатора «%s»."
"Unknown attribute: %s.","Неизвестное свойство: «%s»."
"Unsupported product type ""%s"".","Не поддерживаемый тип товара: «%s»."
"Up-sells","Похожие товары"
"Update","Обновить"
"Update Attributes","Обновить свойства"
"Update Tier Price","Обновить оптовые цены"
"Update assigned product","Обновить связанный товар"
"Update attributes","Обновить свойства"
"Update category","Обновить раздел"
"Update product","Обновить товар"
"Update product image","Обновить изображение товара"
"Update product link","Обновить ссылку товара"
"Update product tier prices","Обновить оптовые цены"
"Upload new product image ","Закачать новое изображение товара"
"Upsell products","Похожие товары"
"Url Rewrite Management","Адреса страниц"
"Use Canonical Link Meta Tag For Categories","Использовать ли атрибут «rel=""canonical""» для адресов товарных разделов?"
"Use Canonical Link Meta Tag For Products","Использовать ли атрибут «rel=""canonical""» для адресов товаров?"
"Use Categories Path for Product URLs","Добавлять ли в адреса товарных страниц названия товарных разделов иерархической цепочки товара?"
"Use Config Settings","использовать общие настройки (указанные в разделе «Система» → «Настройки»)"
"Use Default Value","по умолчанию"
"Use Flat Catalog Category","Денормализовать таблицы товарных разделов?"
"Use Flat Catalog Product","Денормализовать таблицы товаров?"
"Use In Layered Navigation","Использовать ли для пошаговой фильтрации?"
"Use In Search Results Layered Navigation","Использовать ли для пошаговой фильтрации результатов поиска?"
"Use JavaScript Calendar","Использовать ли специализированный элемент управления «календарь» для выбора даты?"
"Use Static URLs for Media Content in WYSIWYG for Catalog","Использовать ли в режиме полного соответствия текстового редактора окончательные (статичные) веб-адреса для картинок и другого медиа-содержимого?"
"Use To Create Configurable Product","Позволять ли администратору использовать данное свойство в качестве опции настраиваемого товара?"
"Use Tree Like Category Sitemap","Отображать ли карту товарных разделов в виде дерева?"
"Use config","использовать общие настройки (указанные в разделе «Система» → «Настройки»)"
"Use default","по умолчанию"
"Use for Promo Rule Conditions","Позволять ли администратору использовать это свойство в качестве условия ценовых правил?"
"Use four-digit year format.","Указывайте год в полном, 4-значном формате (например: «1999»)."
"Use in Advanced Search","Использовать ли в качестве критерия расширенного поиска?"
"Use in Layered Navigation","Использовать ли для пошаговой фильтрации?"
"Use in Layered Navigation<br/>(Can be used only with catalog input type 'Dropdown')","Использовать для пошаговой фильтрации<br/>(применимо только если значением опции «Элемент управления для администратора» является «выпадающий список»)"
"Use in Quick Search","Должна ли система учитывать вхождения искомой посетителем магазина фразы в значение данного свойства при полнотекстовом поиске?"
"Used for Sorting in Product Listing","Давать ли покупателю возможность упорядочивать товары по значениям данного свойства?"
"Used in Product Listing","Загружать ли в товарные коллекции?"
"Value for ""%s"" is invalid.","Неверное значение для «%s»."
"Value for ""%s"" is invalid: %s","Неверное значение для «%s» (%s)"
"Varchar","Строковая величина"
"View as","вид"
"View cart & checkout","Корзина"
"View Details","Открыть"
"Virtual Product","Нематериальный товар / услуга"
"Visibility","Видимость"
"Visible","Видимый"
"Visible on Catalog Pages on Front-end","Показывавать ли в списке товаров на витрине?"
"Visible on Product View Page on Front-end","Показывать ли на витринной товарной карточке?"
"%s was successfully added to your shopping cart.","Товар «%s» добавлен в Вашу корзину"
"was successfully added to your shopping cart.","<br/>в Вашей корзине!"
"WYSIWYG Editor","визуальный редактор..."
"Watermark","Водяной знак"
"Watermark Default Size","<br/>Размеры водяного знака (в пикселях)"
"Watermark Opacity, Percent","<br/>Прозрачность водяного знака в процентах от 0 (полная прозрачность) до 100 (полная непрозрачность)."
"Watermark Position","<br/>Положение водяного знака"
"We Also Recommend","Похожие товары"
"Website","Сайт"
"Websites","Точки продаж"
"What's this?","что это?"
"Whether to show ""All"" option in the ""Show X Per Page"" dropdown.","Показывать ли параметр «Все» в выпадающем списке «Показывать Х на страницу»."
"Wrong BuyRequest instance in options group.","Неверный экземпляр запроса на покупку в группе параметров."
"Wrong configuration item instance in options group.","Неверный экземпляр позиции настроек в группе параметров."
"Wrong configuration item option instance in options group.","Неверный экземпляр параметра позиции настроек в группе параметров."
"Wrong option instance type in options group.","Неверный экземпляр типа параметра в группе параметров."
"Wrong option type to get group instance.","Неверный тип параметра для получения экземпляра группы."
"Wrong product instance type in options group.","Неверный экземпляр типа товара в группе параметров."
"Wrong product type filter specified","Указан неверный фильтр типа товара"
"Wrong product type to extract configurable options.","Неверный тип товара для извлечения параметров."
"Year Range","Допустимый при указании даты интервал годов"
"Yes","да"
"You cannot email this product to a friend.","<текст не используется в системе>"
"You cannot remove system attribute from this set.","Вы не можете удалить системное свойство из этого набора."
"You cannot send more than %d emails at a time.","Вы не можете посылать более %d писем одновременно."
"You have exceeded limit of %d sends in an hour.","Вы превысили лимит отсылок писем в час (%d)."
"You have no items to compare.","Список сравнения пуст."
"You have to specify at least one recipient.","Вам необходимо указать хотя бы одного получателя."
"You may also be interested in the following product(s)","Похожие товары"
"Zoom In","Увеличить"
"Zoom Out","Уменьшить"
"[GLOBAL]","[общая]"
"[STORE VIEW]","[витрина]"
"and","и"
"and above","и больше"
"categories","разделы"
"each","каждый"
"ex. http://domain.com","напр. http://domain.com"
"leave blank if its not an image","Оставьте пустым, если это не изображение"
"per page","на страницу"
"products","товаров"
"px.","пикс."
"save","экономия"
"select all","выбрать все"
"unselect all","снять выбор со всех"
"x","x"
"Please specify the product's option(s).","Укажите значения опций товара."
"Display Settings","Опции"
